model,fold,target,AUC,AP,LogLoss,pos_valid,n_valid
Logistic Regression,0,target_1,0.6491286257010191,0.33393239839370203,0.8266630663531171,103,425
Logistic Regression,0,target_2,0.7937349397590361,0.39387968145217406,0.2997365655358847,10,425
Logistic Regression,0,target_3,0.6928474641889276,0.2646256957389314,0.8415629205005807,56,425
Logistic Regression,0,target_4,0.7317560147748826,0.28913457138491,0.81835612800808,54,425
MultinomialNB,0,target_1,0.6320629560393174,0.34071493186597634,1.1490908683815013,103,425
MultinomialNB,0,target_2,0.7385542168674699,0.39130462719472825,0.7208536161300608,10,425
MultinomialNB,0,target_3,0.6168215253581107,0.1904327079286739,1.0085214069404393,56,425
MultinomialNB,0,target_4,0.729759409004692,0.2712479093393448,1.3994756172221574,54,425
Random Forest,0,target_1,0.6205149852258336,0.30392642549942933,0.5601288031813902,103,425
Random Forest,0,target_2,0.7633734939759036,0.28364439564555133,0.11401287568685574,10,425
Random Forest,0,target_3,0.6782084785133565,0.2343566926555695,0.3840014750983509,56,425
Random Forest,0,target_4,0.715308974742937,0.29046580244458553,0.3528059829745872,54,425
Gradient Boosting,0,target_1,0.6117710908761985,0.3072089368808624,0.6731989216485867,103,425
Gradient Boosting,0,target_2,0.7703614457831325,0.28436781111546394,0.10324315656893346,10,425
Gradient Boosting,0,target_3,0.6475996902826171,0.21508964189954383,0.4832960559641666,56,425
Gradient Boosting,0,target_4,0.7249675551562343,0.3129630886538888,0.4429498611271022,54,425
AdaBoost,0,target_1,0.6050473376349274,0.323755601191352,0.6881939477972369,103,425
AdaBoost,0,target_2,0.7197590361445783,0.27211840981928465,0.4366473685690052,10,425
AdaBoost,0,target_3,0.6103852109949671,0.18934246677887492,0.6823783559469738,56,425
AdaBoost,0,target_4,0.6945692323050814,0.25033661919288913,0.6569382211264415,54,425
Decision Tree,0,target_1,0.5680365434481095,0.27345433894119564,5.656233148428975,103,425
Decision Tree,0,target_2,0.6367469879518073,0.08075630252100839,0.5851284636311627,10,425
Decision Tree,0,target_3,0.5991095625241967,0.16965846889214403,3.8033295135988934,56,425
Decision Tree,0,target_4,0.5428521513427175,0.1395279593318809,3.9658649201631735,54,425
K-Nearest Neighbors,0,target_1,0.534176566363143,0.254956026467752,1.1990333917661318,103,425
K-Nearest Neighbors,0,target_2,0.6773493975903613,0.24745098039215685,0.21934916194588605,10,425
K-Nearest Neighbors,0,target_3,0.5367063492063492,0.15274852721678933,1.1026682986650054,56,425
K-Nearest Neighbors,0,target_4,0.617026055705301,0.18122978933436448,0.9037071866371958,54,425
Support Vector Machine,0,target_1,0.6192486281131279,0.3220253753449139,0.5545662932311177,103,425
Support Vector Machine,0,target_2,0.7380722891566265,0.3894757326455425,0.09049102280361715,10,425
Support Vector Machine,0,target_3,0.6555845915602012,0.24071729993503663,0.37473605880508104,56,425
Support Vector Machine,0,target_4,0.7303084755914944,0.30468475682183893,0.3473898960798925,54,425
LDA,0,target_1,0.6318217451607067,0.3292460123348183,0.638834997315824,103,425
LDA,0,target_2,0.8098795180722891,0.368290867093106,0.22322087117978953,10,425
LDA,0,target_3,0.679539295392954,0.23683847235809508,0.43858921689278596,56,425
LDA,0,target_4,0.7376460017969451,0.32567486108542065,0.512947572445474,54,425
MLP (Neural Network),0,target_1,0.5964542000844237,0.29582539592893214,0.987268687437343,103,425
MLP (Neural Network),0,target_2,0.7489156626506025,0.329510573746178,0.0966003194859641,10,425
MLP (Neural Network),0,target_3,0.6793457220286488,0.2539667341354144,0.5185937305638789,56,425
MLP (Neural Network),0,target_4,0.7247179794349605,0.2904964858542259,0.47530541250513286,54,425
Logistic Regression,1,target_1,0.6748673153471915,0.44755211672010564,0.7496633043498665,119,423
Logistic Regression,1,target_2,0.7727272727272727,0.15528246201964224,0.32496702462689886,5,423
Logistic Regression,1,target_3,0.6873929008567932,0.17048517116759823,0.9120467941328242,43,423
Logistic Regression,1,target_4,0.741304869273207,0.39375033191060904,0.7290717302823773,44,423
MultinomialNB,1,target_1,0.6575077399380805,0.41244046532735257,1.0171747399994457,119,423
MultinomialNB,1,target_2,0.7741626794258374,0.13243094073102638,0.6343097298662489,5,423
MultinomialNB,1,target_3,0.613953488372093,0.14535713268750403,1.2873691446562046,43,423
MultinomialNB,1,target_4,0.7410050371791796,0.3397183147843943,1.0962789387965979,44,423
Random Forest,1,target_1,0.6497539805395841,0.4027828803336413,0.5684233872334468,119,423
Random Forest,1,target_2,0.7825358851674642,0.18765818384091226,0.07813062296578029,5,423
Random Forest,1,target_3,0.642686658506732,0.15629699998301186,0.3575432680312687,43,423
Random Forest,1,target_4,0.7316502758455264,0.36754848597462514,0.3118484228817594,44,423
Gradient Boosting,1,target_1,0.6687582927908005,0.39941600886788897,0.6098380996360462,119,423
Gradient Boosting,1,target_2,0.7751196172248804,0.18705357939625347,0.05884701767151852,5,423
Gradient Boosting,1,target_3,0.6503059975520196,0.17238778892878012,0.5028630132466665,43,423
Gradient Boosting,1,target_4,0.7101822979131686,0.3076259896500161,0.4012067495830101,44,423
AdaBoost,1,target_1,0.6347163865546218,0.3813118929877025,0.6879301190931623,119,423
AdaBoost,1,target_2,0.8631578947368421,0.060059716227758235,0.5485413223328982,5,423
AdaBoost,1,target_3,0.6070379436964504,0.14491569835107934,0.675429870655673,43,423
AdaBoost,1,target_4,0.6433797073638764,0.2529371191091839,0.6785566571719696,44,423
Decision Tree,1,target_1,0.5680838124723574,0.3166068859154605,5.22572565548868,119,423
Decision Tree,1,target_2,0.49401913875598086,0.01182033096926714,0.32660879096857093,5,423
Decision Tree,1,target_3,0.532313341493268,0.10873497651354544,4.441866957163544,43,423
Decision Tree,1,target_4,0.7289817702086832,0.23284240225111083,2.482220211356411,44,423
K-Nearest Neighbors,1,target_1,0.5629975674480319,0.3211391471158904,1.267938077788459,119,423
K-Nearest Neighbors,1,target_2,0.6782296650717703,0.0870921985815603,0.12382020525917642,5,423
K-Nearest Neighbors,1,target_3,0.5600061199510404,0.1133606932837431,0.7225265256305476,43,423
K-Nearest Neighbors,1,target_4,0.6358839050131926,0.2188889202633573,0.8303076669656002,44,423
Support Vector Machine,1,target_1,0.6548678681999116,0.4030672278389077,0.5653265344004951,119,423
Support Vector Machine,1,target_2,0.730622009569378,0.12733806279109883,0.0580970489391941,5,423
Support Vector Machine,1,target_3,0.6473684210526316,0.16157503118695743,0.33360291532990977,43,423
Support Vector Machine,1,target_4,0.753058287359079,0.3512609361022761,0.29305839306652554,44,423
LDA,1,target_1,0.6590833701901813,0.40365523381397184,0.663331990253525,119,423
LDA,1,target_2,0.7339712918660288,0.14694604015637225,0.2774137025098122,5,423
LDA,1,target_3,0.668359853121175,0.18478786340662223,0.3659701217221415,43,423
LDA,1,target_4,0.7474214439913649,0.3996491414155981,0.36247822196466684,44,423
MLP (Neural Network),1,target_1,0.6516751437417072,0.3984917660171964,0.9974200426080807,119,423
MLP (Neural Network),1,target_2,0.6645933014354067,0.2703255275119829,0.06748418166063803,5,423
MLP (Neural Network),1,target_3,0.6469400244798043,0.16800638255378475,0.4484891596415938,43,423
MLP (Neural Network),1,target_4,0.7568361717438234,0.3775903624609839,0.35844495136657395,44,423
Logistic Regression,2,target_1,0.727712800519818,0.4414184621630762,0.7727116642968012,95,419
Logistic Regression,2,target_2,0.5869918699186991,0.08504388515516656,0.22550694241939045,9,419
Logistic Regression,2,target_3,0.6880216802168021,0.19781780533400956,0.8706792301354539,50,419
Logistic Regression,2,target_4,0.7108179419525066,0.31393095172571134,0.7472725283647649,40,419
MultinomialNB,2,target_1,0.6907732293697205,0.41000969786957153,0.9413881323414504,95,419
MultinomialNB,2,target_2,0.6341463414634145,0.07107967335722479,0.3856554987050985,9,419
MultinomialNB,2,target_3,0.6033062330623307,0.15107299109282019,1.1497624143587797,50,419
MultinomialNB,2,target_4,0.7020448548812666,0.3047614377009811,1.2140862426500383,40,419
Random Forest,2,target_1,0.6987329434697857,0.3959576610074048,0.5185594714994923,95,419
Random Forest,2,target_2,0.48970189701897016,0.04122930910572293,0.19461386435652653,9,419
Random Forest,2,target_3,0.6749322493224932,0.20674411448653612,0.3690981794614736,50,419
Random Forest,2,target_4,0.6945910290237468,0.28758278886612365,0.30790834102180004,40,419
Gradient Boosting,2,target_1,0.6756010396361274,0.3641622502302988,0.6281440718209708,95,419
Gradient Boosting,2,target_2,0.5227642276422765,0.13345972615269072,0.1562907129111449,9,419
Gradient Boosting,2,target_3,0.6994579945799458,0.23607080245310857,0.47247731337916243,50,419
Gradient Boosting,2,target_4,0.7039577836411609,0.2751045232236352,0.42404341422819203,40,419
AdaBoost,2,target_1,0.6524366471734893,0.35698332331073307,0.6883913550598736,95,419
AdaBoost,2,target_2,0.3978319783197832,0.07316918305022668,0.3592896541449437,9,419
AdaBoost,2,target_3,0.6490514905149052,0.21148956799710397,0.6830651320002553,50,419
AdaBoost,2,target_4,0.6883245382585752,0.27718659836667486,0.6795957225668717,40,419
Decision Tree,2,target_1,0.5875081221572449,0.2686404285407491,5.077777782633779,95,419
Decision Tree,2,target_2,0.54579945799458,0.03143875777129555,0.5275622241704053,9,419
Decision Tree,2,target_3,0.5170189701897019,0.12341939683228464,3.7588747222097716,50,419
Decision Tree,2,target_4,0.5524406332453826,0.11006058380760052,2.8026700034022642,40,419
K-Nearest Neighbors,2,target_1,0.5238304093567251,0.2507939684847631,0.9498696134440769,95,419
K-Nearest Neighbors,2,target_2,0.5344173441734418,0.04687085653672765,0.2791145703967001,9,419
K-Nearest Neighbors,2,target_3,0.4752574525745257,0.11401104118987637,1.16120451945167,50,419
K-Nearest Neighbors,2,target_4,0.6513852242744064,0.16367553893319364,0.6801220845118567,40,419
Support Vector Machine,2,target_1,0.6976608187134502,0.38422532992238956,0.5160364068274549,95,419
Support Vector Machine,2,target_2,0.48726287262872636,0.07623685607434143,0.10983916907631054,9,419
Support Vector Machine,2,target_3,0.6288888888888888,0.17194577341693595,0.3592778546979304,50,419
Support Vector Machine,2,target_4,0.6883905013192612,0.29572017785837507,0.2973761290182168,40,419
LDA,2,target_1,0.7071474983755686,0.41150658137021334,0.5415778805967224,95,419
LDA,2,target_2,0.5257452574525745,0.13814214135271535,0.3207049216743801,9,419
LDA,2,target_3,0.6434146341463414,0.1840556806794592,0.4324725056134744,50,419
LDA,2,target_4,0.7012532981530343,0.2925893098962696,0.4491452846470897,40,419
MLP (Neural Network),2,target_1,0.6973684210526315,0.397325313783191,0.7804337992845894,95,419
MLP (Neural Network),2,target_2,0.47100271002710026,0.09777997386782546,0.12129700395457979,9,419
MLP (Neural Network),2,target_3,0.6084010840108401,0.16548260314744967,0.5591069522125311,50,419
MLP (Neural Network),2,target_4,0.6727572559366755,0.2747323694085545,0.4395987469484751,40,419
Logistic Regression,3,target_1,0.7204806687565308,0.3962615296970411,0.7417078831253715,116,446
Logistic Regression,3,target_2,0.9213800904977376,0.756993006993007,0.23464425134309483,4,446
Logistic Regression,3,target_3,0.6596976793698106,0.2239820540878391,0.892707119125783,61,446
Logistic Regression,3,target_4,0.797310909648316,0.4600108516321181,0.7384606871171515,59,446
MultinomialNB,3,target_1,0.7028474399164054,0.385573926661944,0.8819311974473268,116,446
MultinomialNB,3,target_2,0.8563348416289593,0.7538759689922481,0.44203296303780565,4,446
MultinomialNB,3,target_3,0.6178411752182245,0.20202604268493135,1.31250334872943,61,446
MultinomialNB,3,target_4,0.7822449962773179,0.4293636492616957,1.1246854504974226,59,446
Random Forest,3,target_1,0.6972309299895507,0.41190313350446517,0.5339996897439688,116,446
Random Forest,3,target_2,0.9581447963800905,0.6604166666666667,0.04086335673964829,4,446
Random Forest,3,target_3,0.6187140728124334,0.18237690881753416,0.4052239641376385,61,446
Random Forest,3,target_4,0.7379231813603119,0.39316242893574443,0.3456871137030186,59,446
Gradient Boosting,3,target_1,0.6800417972831767,0.3836940697419571,0.5825741623681924,116,446
Gradient Boosting,3,target_2,0.878393665158371,0.5180478639240507,0.03126661252619384,4,446
Gradient Boosting,3,target_3,0.623887587822014,0.1779842016326687,0.520159644830703,61,446
Gradient Boosting,3,target_4,0.7686681557394999,0.4221591432217153,0.40038239187515184,59,446
AdaBoost,3,target_1,0.6411442006269592,0.35700866718849517,0.6816932766465645,116,446
AdaBoost,3,target_2,0.7771493212669683,0.07485277880014723,0.3264821830981551,4,446
AdaBoost,3,target_3,0.6123908878007237,0.18744914453223874,0.6829198796514648,61,446
AdaBoost,3,target_4,0.690448035737748,0.32316048521239493,0.6740787778862073,59,446
Decision Tree,3,target_1,0.5896290491118078,0.3073408748260399,5.018190570375318,116,446
Decision Tree,3,target_2,0.47850678733031676,0.008968609865470852,0.7124600130781242,4,446
Decision Tree,3,target_3,0.5660421545667447,0.15957509372932444,3.934013811343255,61,446
Decision Tree,3,target_4,0.6359435904173784,0.19230174318520327,3.5622960653892664,59,446
K-Nearest Neighbors,3,target_1,0.57816091954023,0.3223409235682464,1.4371958842380577,116,446
K-Nearest Neighbors,3,target_2,0.7313348416289592,0.27531763826606875,0.07862405356358615,4,446
K-Nearest Neighbors,3,target_3,0.5711517990206515,0.15741654319784495,0.9478272253454567,61,446
K-Nearest Neighbors,3,target_4,0.6262427188718084,0.2912521332182435,0.9648153758445676,59,446
Support Vector Machine,3,target_1,0.684299895506792,0.38960373071857946,0.5420105657376997,116,446
Support Vector Machine,3,target_2,0.8721719457013575,0.6115676359039192,0.039403337485296994,4,446
Support Vector Machine,3,target_3,0.6454332552693208,0.25347080667550137,0.38535210276550885,61,446
Support Vector Machine,3,target_4,0.791573599614593,0.47871946343763944,0.3198452455488998,59,446
LDA,3,target_1,0.6874869383490073,0.3782983937901281,0.627096594541383,116,446
LDA,3,target_2,0.9666289592760181,0.35119047619047616,0.09380714127418202,4,446
LDA,3,target_3,0.6643389397487758,0.23465309373996254,0.46754817116721126,61,446
LDA,3,target_4,0.7997197039372836,0.4358732661676349,0.4293194155562184,59,446
MLP (Neural Network),3,target_1,0.6751306165099268,0.3728758202573081,0.8981353489261372,116,446
MLP (Neural Network),3,target_2,0.9213800904977376,0.21614583333333331,0.04351872128474495,4,446
MLP (Neural Network),3,target_3,0.637044922290824,0.23278978583155094,0.5664890377837052,61,446
MLP (Neural Network),3,target_4,0.7836902728506986,0.4389293607757727,0.4265413468865563,59,446
Logistic Regression,4,target_1,0.6927890928393818,0.44701609895514915,0.7629633990237668,123,414
Logistic Regression,4,target_2,0.8088019559902201,0.32706666027699244,0.2969641416263235,5,414
Logistic Regression,4,target_3,0.6910919540229885,0.2771501407087054,0.8755595278871197,66,414
Logistic Regression,4,target_4,0.7822192513368983,0.3831884265390169,0.7599983598593295,40,414
MultinomialNB,4,target_1,0.6597938144329897,0.4331399148876666,0.9565733656346739,123,414
MultinomialNB,4,target_2,0.7613691931540343,0.31797301236049175,0.5566181446587171,5,414
MultinomialNB,4,target_3,0.6331417624521074,0.2638260687755277,1.133801252409475,66,414
MultinomialNB,4,target_4,0.7526069518716578,0.36024941536320726,1.1013832040837632,40,414
Random Forest,4,target_1,0.6877322381471238,0.4407221568983838,0.5720630557040867,123,414
Random Forest,4,target_2,0.8139364303178485,0.29987121212121215,0.06121496521606072,5,414
Random Forest,4,target_3,0.6770289097875305,0.25711178321194417,0.415579817523517,66,414
Random Forest,4,target_4,0.7221256684491979,0.33950161783607136,0.30625092512870505,40,414
Gradient Boosting,4,target_1,0.6492889671164753,0.40565787396416086,0.6389034202154604,123,414
Gradient Boosting,4,target_2,0.8229828850855746,0.15949472096530923,0.05988445561973417,5,414
Gradient Boosting,4,target_3,0.5911703239289446,0.22874338140441006,0.4976909593391378,66,414
Gradient Boosting,4,target_4,0.7200534759358288,0.34414680287658955,0.4280380531555938,40,414
AdaBoost,4,target_1,0.5956052859497667,0.3736956190641682,0.68988881724224,123,414
AdaBoost,4,target_2,0.7369193154034229,0.294800556368927,0.5142055506795257,5,414
AdaBoost,4,target_3,0.5258185301288749,0.17444279934550544,0.6825583961590344,66,414
AdaBoost,4,target_4,0.6349598930481284,0.17134857940743858,0.6782497033759166,40,414
Decision Tree,4,target_1,0.5301734976112648,0.31124072110286316,5.706407121761477,123,414
Decision Tree,4,target_2,0.4731051344743276,0.012077294685990338,0.9010124929096529,5,414
Decision Tree,4,target_3,0.4954284221525601,0.15823789736833213,4.304833688346183,66,414
Decision Tree,4,target_4,0.6086229946524064,0.1363999869434652,2.8031478668296317,40,414
K-Nearest Neighbors,4,target_1,0.5350627217612383,0.3121087963171638,1.2095144183301765,123,414
K-Nearest Neighbors,4,target_2,0.676039119804401,0.16724637681159424,0.12377369565874505,5,414
K-Nearest Neighbors,4,target_3,0.5217258794845002,0.16652692937277916,1.4631877839705403,66,414
K-Nearest Neighbors,4,target_4,0.7203542780748663,0.200197686244597,0.4576852818022355,40,414
Support Vector Machine,4,target_1,0.6448607269577851,0.408662113609918,0.5835231456807007,123,414
Support Vector Machine,4,target_2,0.784841075794621,0.3248212196270914,0.05102973404927399,5,414
Support Vector Machine,4,target_3,0.6057122953674678,0.24514470290984178,0.4320858598415605,66,414
Support Vector Machine,4,target_4,0.738168449197861,0.35247041039579285,0.28425797395190305,40,414
LDA,4,target_1,0.6448746961696421,0.39437566504744853,0.7070810953381816,123,414
LDA,4,target_2,0.7393643031784841,0.2917436398766322,0.17418911408322582,5,414
LDA,4,target_3,0.6259578544061303,0.21483009525659433,0.5805549390056396,66,414
LDA,4,target_4,0.7477272727272728,0.4045953392799578,0.33492731492741784,40,414
MLP (Neural Network),4,target_1,0.6305422848042913,0.3963485453314922,1.0937436432730558,123,414
MLP (Neural Network),4,target_2,0.7466992665036675,0.3635906142527535,0.06206785705406063,5,414
MLP (Neural Network),4,target_3,0.5581243469174504,0.19697429983467218,0.7167945349601197,66,414
MLP (Neural Network),4,target_4,0.7068181818181819,0.36579410623395153,0.35931053456343054,40,414
